gamma_version,scenario,duration_s,temperature_c,strategy,baseline_strategy,total_requests,cache_hits,cache_misses,hit_rate_pct,hit_latency_mean_ms,hit_latency_median_ms,miss_latency_mean_ms,miss_latency_median_ms,cvm_ratio,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_mean_ms,latency_std_ms,baseline_latency_mean_ms,baseline_latency_p50_ms,speedup_factor,memory_peak_mb,memory_mean_mb,memory_final_mb,cache_size_peak,cache_size_mean,cache_size_final,energy_mean,energy_total,coverage_mean_pct,coverage_final_pct
V1 (Old Gamma),weather_scenario_180_temp_25_realistic,180,25,SMART CACHE (DISCRETE),BASELINE DISCRETE,120,117,3,97.5,1996.077614971715,0.9915828704833984,50255.521376927696,50467.992544174194,0.039718573408097486,1.0051727294921875,49727.817821502686,50650.00844955444,3202.5637090206146,12145.971185197865,46646.42009139061,47521.68965339661,14.565337126628368,,,,,,,17.855338615859452,2142.640633903134,51.99865998071826,54.54545454545454
V1 (Old Gamma),weather_scenario_180_temp_25_realistic,180,25,SMART CACHE (LINEAR),BASELINE LINEAR,120,112,8,93.33333333333333,1.187360712460109,1.1903047561645508,184.66323614120483,185.5987310409546,0.006429870597264852,1.2069940567016602,181.99074268341064,186.93646907806396,13.41908574104309,45.965428467362656,168.8709815343221,168.61283779144287,12.58438799729999,,,,,,,19.679247685185192,2361.509722222223,51.99865998071826,54.54545454545454
V1 (Old Gamma),weather_scenario_180_temp_25_realistic,180,25,SMART CACHE (GA),GENETIC ALGORITHM,120,112,8,93.33333333333333,0.5126020738056728,0.5010366439819336,102.23287343978882,102.39899158477783,0.0050140630558288615,0.5018711090087891,101.00997686386108,103.63476514816284,7.293953498204549,25.484762338608064,96.96133136749268,96.66454792022705,13.293384910029973,,,,,,,19.076470767143586,2289.1764920572305,51.99865998071826,54.54545454545454
V1 (Old Gamma),weather_scenario_180_temp_25_realistic,180,25,SMART CACHE (LNS),LARGE NEIGHBORHOOD SEARCH,120,112,8,93.33333333333333,0.5536632878439767,0.5297660827636719,112.39102482795715,112.33603954315186,0.004926223323361435,0.5333423614501953,110.21386384963989,114.53778982162476,8.009487390518188,28.01935490885303,108.982119957606,109.00938510894775,13.606628569840998,,,,,,,17.412878157845512,2089.5453789414614,51.99865998071826,54.54545454545454
V1 (Old Gamma),weather_scenario_330_temp_5_realistic,330,5,SMART CACHE (DISCRETE),BASELINE DISCRETE,120,111,9,92.5,0.8327960968017578,0.7796287536621094,45731.54420322842,49746.19483947754,1.8210539602617804e-05,0.8093118667602539,49645.16190290451,50458.741800785065,3430.6361516316733,12304.397357977283,43305.89030186335,47167.70076751709,12.62328279297887,,,,,,,18.609597578347586,2233.1517094017104,26.05374090400436,29.427874422205118
V1 (Old Gamma),weather_scenario_330_temp_5_realistic,330,5,SMART CACHE (LINEAR),BASELINE LINEAR,120,111,9,92.5,1.0559172243685335,0.9980201721191406,186.01780467563205,185.09817123413086,0.00567643095353042,1.0117292404174805,183.03229808807373,190.84970235824585,14.928058783213297,48.93628853414242,164.92690642674765,164.35670852661133,11.048114749669198,,,,,,,19.508763227513235,2341.0515873015884,26.05374090400436,29.427874422205118
V1 (Old Gamma),weather_scenario_330_temp_5_realistic,330,5,SMART CACHE (GA),GENETIC ALGORITHM,120,111,9,92.5,0.4413879669464386,0.438690185546875,98.0978012084961,97.68438339233398,0.004499468504990413,0.4410743713378906,96.69190645217896,99.56989288330078,7.765618960062663,25.835661792658282,97.89519309997559,97.82814979553223,12.60623185394943,,,,,,,19.771070826337155,2372.5284991604585,26.05374090400436,29.427874422205118
V1 (Old Gamma),weather_scenario_330_temp_5_realistic,330,5,SMART CACHE (LNS),LARGE NEIGHBORHOOD SEARCH,120,111,9,92.5,0.4940097396438186,0.47469139099121094,111.32571432325575,110.98241806030273,0.004437516908352061,0.47898292541503906,109.85192060470581,113.50302696228027,8.806387583414713,29.31995169489959,108.78032644589742,108.83069038391113,12.352434572691996,,,,,,,17.824957669018872,2138.9949202822645,26.05374090400436,29.427874422205118
V1 (Old Gamma),weather_scenario_90_temp_15_realistic,90,15,SMART CACHE (DISCRETE),BASELINE DISCRETE,120,118,2,98.33333333333333,0.8868241714218915,0.8338689804077148,50336.11464500427,50336.11464500427,1.761804973777225e-05,0.8474588394165039,1.5124082565307615,40727.00649261486,839.8072878519694,6470.892938102517,47454.93136445681,48108.561754226685,56.50692968601812,,,,,,,17.902706997863255,2148.3248397435905,70.75757575757576,72.72727272727273
V1 (Old Gamma),weather_scenario_90_temp_15_realistic,90,15,SMART CACHE (LINEAR),BASELINE LINEAR,120,118,2,98.33333333333333,1.125020495915817,1.1061429977416992,189.9397373199463,189.9397373199463,0.005923039126987749,1.1109113693237305,1.8077731132507324,153.78853082656903,4.271932442982991,24.27535441655551,177.3918608824412,169.92664337158203,41.52496867637087,,,,,,,19.785618386243392,2374.274206349207,70.75757575757576,72.72727272727273
V1 (Old Gamma),weather_scenario_90_temp_15_realistic,90,15,SMART CACHE (GA),GENETIC ALGORITHM,120,118,2,98.33333333333333,0.5303944571543548,0.5208253860473633,101.90856456756592,101.90856456756592,0.005204611206182779,0.5209445953369141,0.640571117401123,82.19208478927635,2.2200306256612143,13.033049984924695,97.24199771881104,96.73535823822021,43.80209741018706,,,,,,,18.938353857861067,2272.602462943328,70.75757575757576,72.72727272727273
V1 (Old Gamma),weather_scenario_90_temp_15_realistic,90,15,SMART CACHE (LNS),LARGE NEIGHBORHOOD SEARCH,120,118,2,98.33333333333333,0.5768881005755926,0.5555152893066406,113.45148086547852,113.45148086547852,0.005084888237462668,0.5557537078857422,0.6852149963378905,90.83893537521388,2.4581313133239746,14.512302121991535,109.09948945045471,109.11965370178223,44.38310063384141,,,,,,,17.395928406724064,2087.5114088068876,70.75757575757576,72.72727272727273
