Gamma,Scenario,Algorithm,Hit Rate (%),Speedup (×),P50 Latency (ms),P95 Latency (ms),P99 Latency (ms),Mean Latency (ms),Avg Energy,Baseline Latency (ms),Coverage (%)
V1 (Coarse),"180D, 25°C",GA,93,13.3,0.50,101.0,103.6,7.29,19.1,96.96,54
V1 (Coarse),"180D, 25°C",LNS,93,13.6,0.53,110.2,114.5,8.01,17.4,108.98,54
V1 (Coarse),"180D, 25°C",LP,93,12.6,1.21,182.0,186.9,13.42,19.7,168.87,54
V1 (Coarse),"180D, 25°C",MILP,97,14.6,1.01,49727.8,50650.0,3202.56,17.9,46646.42,54
V1 (Coarse),"330D, 5°C",GA,92,12.6,0.44,96.7,99.6,7.77,19.8,97.90,29
V1 (Coarse),"330D, 5°C",LNS,92,12.4,0.48,109.9,113.5,8.81,17.8,108.78,29
V1 (Coarse),"330D, 5°C",LP,92,11.0,1.01,183.0,190.8,14.93,19.5,164.93,29
V1 (Coarse),"330D, 5°C",MILP,92,12.6,0.81,49645.2,50458.7,3430.64,18.6,43305.89,29
V1 (Coarse),"90D, 15°C",GA,98,43.8,0.52,0.6,82.2,2.22,18.9,97.24,72
V1 (Coarse),"90D, 15°C",LNS,98,44.4,0.56,0.7,90.8,2.46,17.4,109.10,72
V1 (Coarse),"90D, 15°C",LP,98,41.5,1.11,1.8,153.8,4.27,19.8,177.39,72
V1 (Coarse),"90D, 15°C",MILP,98,56.5,0.85,1.5,40727.0,839.81,17.9,47454.93,72
V2 (Fine-Grained),"180D, 25°C",GA,89,8.0,0.87,106.0,109.7,12.20,21.6,97.78,50
V2 (Fine-Grained),"180D, 25°C",LNS,89,8.2,0.90,114.4,118.6,13.21,19.5,108.80,50
V2 (Fine-Grained),"180D, 25°C",LP,89,7.6,1.84,190.3,198.8,22.59,22.4,171.79,50
V2 (Fine-Grained),"180D, 25°C",MILP,89,7.7,1.42,30933.0,51433.7,4080.09,19.9,31579.62,50
V2 (Fine-Grained),"330D, 5°C",GA,71,3.4,0.61,106.5,109.7,29.44,19.6,99.59,18
V2 (Fine-Grained),"330D, 5°C",LNS,70,3.3,0.68,115.8,117.5,33.54,17.8,109.29,18
V2 (Fine-Grained),"330D, 5°C",LP,70,2.9,1.52,225.1,261.8,61.11,20.5,178.90,18
V2 (Fine-Grained),"330D, 5°C",MILP,70,3.3,1.34,36161.8,57066.2,10145.93,18.2,33438.56,18
V2 (Fine-Grained),"90D, 15°C",GA,82,4.8,0.98,116.3,124.5,20.72,18.9,98.57,58
V2 (Fine-Grained),"90D, 15°C",LNS,83,5.3,1.06,120.1,124.8,20.69,17.4,109.27,58
V2 (Fine-Grained),"90D, 15°C",LP,83,5.1,2.02,202.5,240.3,35.72,19.7,180.72,58
V2 (Fine-Grained),"90D, 15°C",MILP,84,5.5,1.66,33893.1,55119.2,6231.44,17.6,34153.19,58
